locusId	sysName	desc	comb	setATCH264 M9
HER17_RS13805	HER17_RS13805	DUF2058 domain-containing protein	HER17_RS13805 DUF2058 domain-containing protein	-0.74960754045353
HER17_RS13810	HER17_RS13810	cold shock domain-containing protein	HER17_RS13810 cold shock domain-containing protein	0.0232354590376063
HER17_RS13815	HER17_RS13815	family 1 glycosylhydrolase	HER17_RS13815 family 1 glycosylhydrolase	-0.0802479453088907
HER17_RS13820	HER17_RS13820	helix-turn-helix domain-containing protein	HER17_RS13820 helix-turn-helix domain-containing protein	0.386531208430695
HER17_RS13825	HER17_RS13825	MFS transporter	HER17_RS13825 MFS transporter	0.0917394900481858
HER17_RS13830	HER17_RS13830	Bcr/CflA family efflux MFS transporter	HER17_RS13830 Bcr/CflA family efflux MFS transporter	0.060345841789582
HER17_RS13835	HER17_RS13835	NAD(P)H-binding protein	HER17_RS13835 NAD(P)H-binding protein	0.0565821519434079
HER17_RS13840	HER17_RS13840	DoxX family protein	HER17_RS13840 DoxX family protein	-0.271908900778189
HER17_RS13845	HER17_RS13845	winged helix-turn-helix transcriptional regulator	HER17_RS13845 winged helix-turn-helix transcriptional regulator	0.594152334446054
HER17_RS13855	HER17_RS13855	threonine/serine dehydratase	HER17_RS13855 threonine/serine dehydratase	0.0710765249439514
HER17_RS13860	HER17_RS13860	helix-turn-helix transcriptional regulator	HER17_RS13860 helix-turn-helix transcriptional regulator	-0.250264188050819
HER17_RS13865	HER17_RS13865	helix-turn-helix transcriptional regulator	HER17_RS13865 helix-turn-helix transcriptional regulator	-0.31095015850869
HER17_RS13870	HER17_RS13870	NAD(P)-dependent oxidoreductase	HER17_RS13870 NAD(P)-dependent oxidoreductase	0.327910991523849
HER17_RS13875	HER17_RS13875	glutathione-dependent disulfide-bond oxidoreductase	HER17_RS13875 glutathione-dependent disulfide-bond oxidoreductase	0.258091427414587
HER17_RS13880	HER17_RS13880	chemotaxis protein CheV	HER17_RS13880 chemotaxis protein CheV	0.0989984141575503
HER17_RS13885	HER17_RS13885	DUF3313 domain-containing protein	HER17_RS13885 DUF3313 domain-containing protein	-0.15956739862127
HER17_RS13890	HER17_RS13890	paraquat-inducible protein A	HER17_RS13890 paraquat-inducible protein A	0.175595865253192
HER17_RS13895	HER17_RS13895	paraquat-inducible protein A	HER17_RS13895 paraquat-inducible protein A	0.0284211436826937
HER17_RS13900	HER17_RS13900	MCE family protein	HER17_RS13900 MCE family protein	0.0413074904370982
HER17_RS13910	HER17_RS13910	TetR/AcrR family transcriptional regulator	HER17_RS13910 TetR/AcrR family transcriptional regulator	0.235953000706169
HER17_RS13915	HER17_RS13915	LuxR family transcriptional regulator	HER17_RS13915 LuxR family transcriptional regulator	0.129300299208934
HER17_RS13920	HER17_RS13920	ATP-binding cassette domain-containing protein	HER17_RS13920 ATP-binding cassette domain-containing protein	0.048679216074742
HER17_RS13925	HER17_RS13925	ATP-binding cassette domain-containing protein	HER17_RS13925 ATP-binding cassette domain-containing protein	-0.222836529988387
HER17_RS13930	HER17_RS13930	helix-turn-helix transcriptional regulator	HER17_RS13930 helix-turn-helix transcriptional regulator	0.0671893376106457
HER17_RS13935	HER17_RS13935	MFS transporter	HER17_RS13935 MFS transporter	0.0304236209747867
HER17_RS13940	HER17_RS13940	TonB-dependent siderophore receptor	HER17_RS13940 TonB-dependent siderophore receptor	-0.0645070044994254
HER17_RS13945	HER17_RS13945	CDP-diacylglycerol diphosphatase	HER17_RS13945 CDP-diacylglycerol diphosphatase	0.0201374539622281
HER17_RS13950	HER17_RS13950	LysR family transcriptional regulator	HER17_RS13950 LysR family transcriptional regulator	0.304644498010222
HER17_RS13955	HER17_RS13955	ABC transporter substrate-binding protein	HER17_RS13955 ABC transporter substrate-binding protein	0.0793706486915829
HER17_RS13960	HER17_RS13960	ABC transporter permease	HER17_RS13960 ABC transporter permease	0.0742698250989193
HER17_RS13965	HER17_RS13965	ABC transporter ATP-binding protein	HER17_RS13965 ABC transporter ATP-binding protein	-0.90271239051172
HER17_RS13970	HER17_RS13970	aryl-sulfate sulfotransferase	HER17_RS13970 aryl-sulfate sulfotransferase	-0.014030732975739
HER17_RS13975	HER17_RS13975	Rpn family recombination-promoting nuclease/putative transposase	HER17_RS13975 Rpn family recombination-promoting nuclease/putative transposase	0.0881886021721283
HER17_RS13980	HER17_RS13980	ATP-binding cassette domain-containing protein	HER17_RS13980 ATP-binding cassette domain-containing protein	0.144726257858482
HER17_RS13985	HER17_RS13985	ABC transporter ATP-binding protein	HER17_RS13985 ABC transporter ATP-binding protein	-0.45589749406592
HER17_RS13990	HER17_RS13990	MFS transporter	HER17_RS13990 MFS transporter	-0.0980414397752947
HER17_RS13995	HER17_RS13995	ABC transporter substrate-binding protein	HER17_RS13995 ABC transporter substrate-binding protein	-0.0558482025262803
HER17_RS14000	HER17_RS14000	ABC transporter permease subunit	HER17_RS14000 ABC transporter permease subunit	0.129734863527623
HER17_RS14005	HER17_RS14005	AMP nucleosidase	HER17_RS14005 AMP nucleosidase	0.03207368714384
HER17_RS14010	HER17_RS14010	hypothetical protein	HER17_RS14010 hypothetical protein	-0.0983009452314805
HER17_RS14015	HER17_RS14015	hypothetical protein	HER17_RS14015 hypothetical protein	-0.0404341469609948
HER17_RS14020	HER17_RS14020	glycine betaine/L-proline transporter ProP	HER17_RS14020 glycine betaine/L-proline transporter ProP	0.0814055240734508
HER17_RS14025	HER17_RS14025	helix-turn-helix transcriptional regulator	HER17_RS14025 helix-turn-helix transcriptional regulator	0.0354727935307748
HER17_RS14030	HER17_RS14030	methyltransferase domain-containing protein	HER17_RS14030 methyltransferase domain-containing protein	-0.0246625357733963
