name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
setATCH97	Time0	8/2/20 Dda3937	1	3037743	33915	1728546	1706587	282	296	460.617273954116	-0.00625166253968937	0.184599669192672	1.13586390095991	1.11804604641699	-0.00209018036723099	-0.033263226446518	-0.0103207455356453	1.41823106279774	FALSE
setATCH98	Time0	8/2/20 Dda3937	2	3161631	36046	1797769	1773753	296	282	478.745748987854	-0.00625166253968937	0.184599669192672	1.11804604641699	1.13586390095991	-0.00209018036723099	-0.033263226446518	0.0103207455356453	1.32242928656535	FALSE
setATCH110	LB	8/2/20 Dda3937	3	4566350	56249	2610625	2571927	424	578	694.177327935223	0.278648737394623	0.175510050180952	1.12911241910175	1.11687472677622	0.254991605970888	0.034278130377938	0.0915025078448729	1.8607698887809	TRUE
setATCH111	LB	8/2/20 Dda3937	4	4643229	58148	2656311	2617259	428	578	706.412685560054	0.26965747709108	0.182620877879267	1.13387593152524	1.11687472677622	0.246532102977702	0.035680256441443	0.084294711447152	1.87337563636073	TRUE
setATCH112	LB	8/2/20 Dda3937	5	3446854	43553	1970544	1941379	323	578	523.988933873144	0.26726785629264	0.181584563733127	1.13316403032753	1.11687472677622	0.258986890858823	-0.006251926566419	0.0867106816962404	1.85251418859785	TRUE
setATCH128	M9	8/2/20 Dda3937	6	4978046	73826	2902005	2858473	373	578	771.517678812416	0.378935311430654	0.25083060653452	1.18265886655806	1.11687472677622	0.328932992693203	0.0417723892881525	-0.0861477997254588	5.77558149023629	TRUE
setATCH129	M9	8/2/20 Dda3937	7	4680376	72638	2757362	2712269	315	578	732.05641025641	0.356140857594237	0.289269966345375	1.19305818826056	1.11687472677622	0.305241435369887	0.100847973777646	-0.0919952712154256	6.58935148176541	TRUE
setATCH130	M9	8/2/20 Dda3937	8	5169648	82871	3037568	2988019	355	578	806.48286099865	0.361133238654632	0.271410099137491	1.17217744621037	1.11687472677622	0.310804831706472	0.076833227101459	-0.0836032665611551	6.41946540463099	TRUE
setATCH143	Time0	11/16/20 Dda3937	9	4590437	48954	2615005	2585103	428	375	697.733603238866	0.0127652997477001	0.167406106001648	1.11711035416453	1.13957815492385	0.033271988966728	0.00869502401384338	0.0123213219561918	1.48755092188864	FALSE
setATCH144	Time0	11/16/20 Dda3937	10	4014080	43389	2284506	2257758	375	428	609.381376518219	0.0127652997477001	0.167406106001648	1.13957815492385	1.11711035416453	0.033271988966728	0.00869502401384338	-0.0123213219561918	1.23618291815497	FALSE
setATCH145	PDB	11/16/20 Dda3937	11	3370578	45592	1973739	1947108	252	805	525.535222672065	0.251592667562549	0.477268429095368	1.27578911533895	1.1263213999936	0.208606323126914	-0.0096365533454173	0.149381718555266	3.92053266834651	TRUE
setATCH146	PDB	11/16/20 Dda3937	12	3208707	43420	1890310	1866281	248	805	503.719568151147	0.265819642106233	0.461384005233381	1.24146069080221	1.1263213999936	0.194501268061667	0.020716737135068	0.191258277536377	3.90468018611624	TRUE
setATCH147	PDB	11/16/20 Dda3937	13	3950372	55695	2308039	2277566	307	805	614.727665317139	0.292311167300972	0.43956018171828	1.20919422155906	1.1263213999936	0.227275944019388	0.030444018448352	0.1883735468337	3.67913967118956	TRUE
setATCH148	Atlantic	11/16/20 Dda3937	14	3936135	48334	2388086	2364505	244	805	638.19298245614	0.167687226044239	0.354969740729406	1.37851162325373	1.1263213999936	0.177174211911464	-0.0138329594932653	-0.0191834799831254	5.5276217550954	TRUE
setATCH149	Atlantic	11/16/20 Dda3937	15	4085343	41543	2327962	2294196	368	805	619.216194331984	0.226642195532375	0.272479022203968	1.2099364577094	1.1263213999936	0.192967342328834	0.00418974027009492	0.017425325770493	2.27654687560952	TRUE
setATCH150	Atlantic	11/16/20 Dda3937	16	3204888	31534	1800969	1778022	253	805	479.897975708502	0.22652263739672	0.349419516446551	1.27301849440642	1.1263213999936	0.206570388817494	0.0660160563164693	-0.0214711067019971	5.27290422571407	TRUE
setATCH151	Atlantic	11/16/20 Dda3937	17	4262427	46603	2471885	2440909	351	805	658.814844804318	0.218229932147466	0.319106788410251	1.25290569929052	1.1263213999936	0.22022213954639	0.0133581553009366	-0.0126980498229574	4.37344200244404	TRUE
setATCH152	Atlantic	11/16/20 Dda3937	18	4009255	47181	2286649	2256083	357	805	608.929284750337	0.232681509120452	0.284868903492709	1.18559944417266	1.1263213999936	0.26125995107839	-0.0223724376834467	0.0277875743651778	3.02109191069724	TRUE
setATCH153	Atlantic	11/16/20 Dda3937	19	3778931	39135	2142785	2112494	313	805	570.173819163293	0.251321516185623	0.335446362544841	1.25117343524825	1.1263213999936	0.201088195519338	0.00943940638626586	-0.0315230854933834	4.70033828416959	TRUE
setATCH154	Norland	11/16/20 Dda3937	20	3803450	43851	2159961	2130050	323	805	574.912280701754	0.209528754586776	0.287835814098193	1.21341686402299	1.1263213999936	0.189101537295369	-0.0137121144217307	0.00628568678918519	3.01320739130984	TRUE
setATCH155	Norland	11/16/20 Dda3937	21	3812410	41178	2147584	2121949	292	805	572.725775978408	0.219738562011836	0.32793833131218	1.32639164293173	1.1263213999936	0.168238708049794	0.07150634633173	-0.000743991802217065	3.59719858014827	TRUE
setATCH156	Norland	11/16/20 Dda3937	22	4064238	39499	2383929	2354803	306	805	635.574358974359	0.229881875544411	0.311445905286926	1.2883140846668	1.1263213999936	0.186020921495667	0.0168587985641112	-0.00279628658254535	5.25783357325488	TRUE
